m/z,RT [min],Name,Tags,Formula,MS/MS Verified,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,Area (Max.),Mass List Match: Endogenous Metabolites database 4400 compounds,Mass List Match: CD_MassList_RP_V1,MS2,Reference Ion,Blank 01,Blank 02,QC 01 RP Pos,QC 02 RP Pos,Foston_In_1-A_Met_LC_RP_Pos(F3),Foston_In_1-B_Met_LC_RP_Pos(F4),Foston_In_1-C_Met_LC_RP_Pos(F5),Foston_In_1-D_Met_LC_RP_Pos(F6),Foston_In_1-E_Met_LC_RP_Pos(F7),Foston_In_1-F_Met_LC_RP_Pos(F8),Foston_In_1-G_Met_LC_RP_Pos(F9),Foston_In_1-H_Met_LC_RP_Pos(F10),Foston_In_1-I_Met_LC_RP_Pos(F11),Foston_In_1-J_Met_LC_RP_Pos(F12),Foston_In_1-K_Met_LC_RP_Pos(F13),Foston_In_1-L_Met_LC_RP_Pos(F14),Foston_In_4-A_Met_LC_RP_Pos(F15),Foston_In_4-B_Met_LC_RP_Pos(F16),Foston_In_4-C_Met_LC_RP_Pos(F17),Foston_In_4-D_Met_LC_RP_Pos(F18),Foston_In_4-E_Met_LC_RP_Pos(F19),Foston_In_4-F_Met_LC_RP_Pos(F20),Foston_In_4-G_Met_LC_RP_Pos(F21),Foston_In_4-H_Met_LC_RP_Pos(F22),Foston_In_4-I_Met_LC_RP_Pos(F23),Foston_In_4-J_Met_LC_RP_Pos(F24),Foston_In_4-K_Met_LC_RP_Pos(F25),Foston_In_4-L_Met_LC_RP_Pos(F26)
90.05474,0.946,DL-Alanine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT; Other possible IDs: Sarcosine",C3 H7 N O2,,Not the top hit,No results,Full match,Full match,-2.46,89.04746,426347316.1,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,2049908.355,1151747.703,426347316.1,422928236.7,22779747.11,20345493.21,21697989.45,50691372.15,52991114.67,52564154.17,24363446.85,15513717.21,16625992.72,34894606.84,36942588.48,36248158.61,12643932.61,11083142.92,11913296.15,14319648.43,16726478.14,14464952.82,12896343.05,12649419.11,10435812.84,25961462.48,27264696.57,25064315.47
120.06517,0.953,DL-Threonine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT; Other possible IDs: DL-Homoserine",C4 H9 N O3,,Not the top hit,No results,Not the top hit,Full match,-2.93,119.05789,87580576.83,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,75923.06182,8421.160442,121156.3688,132649.7199,49355330.19,45450608.32,47201993.1,38673957.28,39922942.88,37167322.25,77234734.99,42827533.41,76705124.48,41497045.08,87580576.83,68040897.13,23042167.98,19465017.17,23219635.77,20289220.41,20854644.01,21157466.34,61959907.95,59866744.14,56527192.32,77086048.06,81961851.34,69794522.81
102.05466,0.962,1-Aminocyclopropane-1-carboxylate,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H7 N O2,,No results,No results,Partial match,Full match,-2.93,101.04738,152424769.1,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,314883.1202,62569.3007,35886915.05,34194964.95,150141779.6,152424769.1,148945332.2,112762594.7,107829906.9,1885380.524,113316619.7,109761421.8,112030131.6,87182180.25,79395413.28,73115382.25,128115155.6,129396953.6,134849294.2,104821343.4,102300484,112288830.5,119640602.2,106581428.2,102460311.4,71700621.37,64944867.77,67901427.92
162.07533,0.974,2-Aminoadipic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H11 N O4,,Not the top hit,No results,Full match,Full match,-4.66,161.06806,549022232.1,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,217874.9011,7710.411214,190408.6207,666527.7785,66136082.21,55722895.02,45626951.42,10606807.25,10368905.57,9572723.667,549022232.1,457280258.5,548771060,328333876,358117128.7,359348484.1,14387352.37,16350652.18,15409611.05,131940945.4,114844615.5,115008831.9,46680369.11,53344980.71,47836553.96,326242154.5,352899069.9,317685750.1
96.04412,0.992,2-Hydroxypyridine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H5 N O,,Partial match,No results,Partial match,Full match,-3.1,95.03682,9460767.306,Single match found,Multiple matches found,DDA for preferred ion,[M+H]+1,84679.18347,15157.46031,248333.9112,241512.3263,2810364.79,2709461.514,2755559.845,2872725.054,2850861.578,2938905.381,9460767.306,6768871.111,7918661.296,8236751.163,7333092.935,8898937.226,5010548.724,4441766.996,5455211.902,6631282.952,6328730.83,5553228.265,3758860.844,3087452.026,3243010.906,8205223.691,7396166.791,6915466.878
145.04897,1.034,3-Hydroxymethylglutaricacid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H10 O5,,No results,No results,Partial match,Full match,-3.58,162.05224,8020503.986,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H-H2O]+1,88784.14141,42709.52431,2272612.848,2887152.285,2879416.704,3607661.482,3599531.112,4298046.434,5015579.503,4779764.131,6435585.498,7116530.174,7076478.843,6436061.275,7488879.333,7580421.618,3105220.544,3524878.47,2980515.482,3604179.472,2947505.331,3581337.439,1943446.761,2998358.865,2911268.897,6976444.336,7076976.359,8020503.986
186.99983,1.159,3-phosphoglyceric acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C3 H7 O7 P,,No results,No results,Full match,Full match,-2.08,185.99255,6546134.181,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,14094.83055,14214.84062,41100.12698,39260.55535,3870316.162,3205083.182,2572226.099,3094524.767,3938178.917,3694744.618,3028067.195,4382439.684,2844750.18,4419095.43,3520292.834,5054964.612,5592922.541,6546134.181,4237983.612,898341.7297,837251.0252,647018.8867,303322.2145,342169.3136,403734.4845,1969539.566,3282801.51,2238172.33
120.04426,5.222,4-Aminobenzoic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C7 H7 N O2,,No results,No results,Full match,Full match,-1.04,137.04754,8758194.629,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H-H2O]+1,11004.27882,10767.92912,57011.76619,63285.39129,67410.95322,11432.96791,56226.88178,1126329.379,2433628.474,553508.1147,4835138.567,249020.9526,3351232.376,466175.4325,1123200.24,641485.4134,17264.5372,27997.55274,11909.68513,3513720.846,3339881.909,2685911.376,2126916.335,2773859.96,1575310.074,4933664.953,8323866.35,8758194.629
298.09609,0.844,5'-Methylthioadenosine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C11 H15 N5 O3 S,,Partial match,No results,Partial match,Full match,-2.51,297.08881,3617429.428,Single match found,Single match found,DDA for preferred ion,[M+H]+1,8282.822091,8043.559862,8511.897284,27466.53045,2632942.256,2918799.105,2150829.789,3222379.2,2730130.59,2814726.622,1553624.857,1452032.896,1871077.673,1679323.114,3299490.78,2305866.046,783073.4805,1267790.867,1053760.089,1135966.442,1172295.837,1135987.022,648433.1716,805530.8197,687527.2565,3617429.428,3080251.227,3117484.585
130.0497,1.271,5-Oxoproline,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C5 H7 N O3,,Partial match,No results,Partial match,Full match,-1.32,129.04242,24032247.09,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,30787.57965,49442.27627,6217646.909,6530314.854,24032247.09,23554334.85,19377182.08,14017525.39,13182987.09,13847436.95,13299971.8,18841360.67,13788788.35,9391119.689,7759619.494,7005687.309,17895670.17,21524037.49,15983732.4,14168310.03,17841071.14,16346983.7,15312855.53,13071769.74,11932270.66,9002821.771,13038834.35,8722785.217
